,node_from,node_to
1105,6389,27659
1106,6389,21169
1107,6389,8358
1108,25757,12941
1109,25757,5092
1110,25757,19277
1111,14901,25734
1112,14901,21677
1113,14901,8044
1114,14901,16583
1115,14901,25726
1116,13872,31018
1117,13872,28241
1118,1336,8629
1119,896,22224
1120,896,11281
1121,896,8468
1122,896,15181
1123,896,13873
1124,9140,27202
1125,9140,10198
1126,9140,8368
1127,12718,22224
1128,12718,3063
1129,12718,794
1130,12718,1668
1131,21239,4796
1132,21239,11614
1133,21239,13192
1134,21239,4818
1135,20181,22101
1136,20181,31687
1137,20181,3229
1138,20181,8542
1139,3922,22224
1140,3922,18677
1141,3922,10530
1142,3922,27353
1143,3126,18932
1144,3126,9290
1145,3126,29707
1146,11281,22224
1147,11281,8468
1148,11281,15181
1149,31807,23602
1150,31807,21520
1151,31807,1158
1152,31807,11796
1153,3063,22224
1154,3063,794
1155,17777,26038
1156,17777,15329
1157,17777,9538
1158,17777,1383
1159,30307,12941
1160,30307,18536
1161,30307,13921
1162,30307,24799
1163,13256,22101
1164,13256,10565
1165,13256,24579
1166,14926,13045
1167,14926,22048
1168,14926,30914
1169,29137,16554
1170,29137,13665
1171,29137,9190
1172,29137,9954
1173,27388,22224
1174,17041,5342
1175,17041,16687
1176,17041,4483
1177,17041,19747
1178,19065,18932
1179,19065,7614
1180,19065,5611
1181,19065,21090
1182,6899,6971
1183,6899,21302
1184,14419,13836
1185,14419,20915
1186,14419,11155
1187,14419,23690
1188,14419,28162
1189,3940,8085
1190,3940,29895
1191,3940,23630
1192,3940,11042
1193,12331,5342
1194,12331,30147
1195,12331,22085
1196,12331,8936
1197,23309,22224
1198,29895,8085
1199,29895,24660
1200,29895,27469
1201,31848,18371
1202,31848,14833
1203,31848,13420
1204,28749,588
1205,28749,23484
1206,28749,6392
1207,28749,15228
1208,13761,31018
1209,13761,6252
1210,22048,13045
1211,22048,3507
1212,22048,30914
1213,22048,2367
1214,15739,18221
1215,15739,72
1216,15739,15607
1217,15739,29660
1218,15739,23521
1219,22005,5342
1220,22005,4483
1221,22005,3184
1222,11614,22815
1223,11614,8155
1224,11614,4818
1225,27445,13583
1226,27445,24936
1227,27445,22735
1228,9592,13836
1229,9592,8150
1230,9592,255
1231,9592,7283
1232,9592,62
1233,30433,29005
1234,30433,6568
1235,30433,17395
1236,13231,12941
1237,13231,18536
1238,13231,24414
1239,13231,25683
1240,8468,22224
1241,8468,8498
1242,8468,12680
1243,11227,13836
1244,11227,30601
1245,11227,27834
1246,11227,7283
1247,20520,11120
1248,20520,30109
1249,20520,17178
1250,20520,26700
1251,17047,11120
1252,17047,8213
1253,17047,24437
1254,17047,11336
1255,12843,13836
1256,12843,4553
1257,12843,15720
1258,12843,1538
1259,19368,13045
1260,19368,12248
1261,19368,18772
1262,19368,10692
1263,18721,13836
1264,18721,4111
1265,2867,588
1266,2867,20833
1267,2867,22965
